index,title,combine,overview,cast
53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Actionsaving the world riddle whip treasure mexico cityThe adventure continues . . .Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen AllenSteven Spielberg,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen
54,The Good Dinosaur,Adventure Animation Familytyrannosaurus rex friends alternate history dinosaur fearLittle Arms With Big AttitudeRaymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-PadillaPeter Sohn,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla
55,Brave,Animation Adventure Comedy Family Actionscotland rebel bravery kingdom archerChange your fate.Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKiddBrenda Chapman,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd
56,Star Trek Beyond,Action Adventure Science Fictionsequel stranded hatred space operaChris Pine Zachary Quinto Karl Urban Simon Pegg Zoe SaldanaJustin Lin,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana
57,WALL·E,Animation Familyromantic comedyAn adventure beyond the ordinar-E.Ben Burtt Elissa Knight Jeff Garlin Fred Willard John RatzenbergerAndrew Stanton,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger
58,Rush Hour 3,Action Comedy Crime ThrillerambassadorThe Rush Is On!Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan AttalBrett Ratner,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal
59,2012,Action Adventure Science Fictioncivilization natural disaster end of the world disaster apocalypseWe Were Warned.John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver PlattRoland Emmerich,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt
60,A Christmas Carol,Animation Dramaholiday based on novel victorian england money christmas eveSeason's GreedingsGary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage RyanRobert Zemeckis,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan
61,Jupiter Ascending,Science Fiction Fantasy Action Adventurejupiter space woman director 3d interspecies romanceExpand your universe.Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas BoothLilly Wachowski,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth
62,The Legend of Tarzan,Action Adventureafrica feral child tarzan jungle animal attackHuman. Nature.Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon HounsouDavid Yates,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasysaving the world witch based on novel brother sister relationship self sacrificeEvil Has Reigned For 100 Years...William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam NeesonAndrew Adamson,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson
64,X-Men: Apocalypse,Science Fictionmutant supernatural powers marvel comic superhero based on comic bookOnly the strong will surviveJames McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar IsaacBryan Singer,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac
65,The Dark Knight,Drama Action Crime Thrillerdc comics crime fighter secret identity scarecrow sadismWhy So Serious?Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie GyllenhaalChristopher Nolan,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal
66,Up,Animation Comedy Family Adventureage difference central and south america balloon animation floating in the airEd Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy LindoPete Docter,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo
67,Monsters vs Aliens,"Animation Family Adventure Science Fictionalien giant robot duringcreditsstingerWhen aliens attack, monsters fight back.Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer SutherlandConrad Vernon","When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland
68,Iron Man,Action Science Fiction Adventuremiddle east arms dealer malibu marvel comic superheroHeroes aren't born. They're built.Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth PaltrowJon Favreau,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow
69,Hugo,Adventure Drama Familylibrary clock film director key toyOne of the most legendary directors of our time takes you on an extraordinary adventure.Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray WinstoneMartin Scorsese,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone
70,Wild Wild West,Action Adventure Comedy Science Fiction Westernsteampunk based on tv series steam locomotive dragIt's a whole new west.Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet WalshBarry Sonnenfeld,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh
71,The Mummy: Tomb of the Dragon Emperor,Adventure Action FantasyA New Evil Awakens.Brendan Fraser Jet Li John Hannah Maria Bello Luke FordRob Cohen,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford
